# Mini-Circuits,Lab.
# Model:ZVA-183+
# Mini-Circuits,Lab.,Run:,EXPRM,,Date,Code:,1030;
# Fixture:,N/R;,Vcc=+12V,,Icc=330mA;
# Connection:,Port,1,to,Input,,Port,2,to,Output;
# Mini-Circuits,Lab.,Tested,with,PNA-X,Network,Analyzer,AG,N5242A,,S/N,71404,,Cal.Due.:,05/26/2011.
DG(dB)=0
freq(Hz)	gain(dB)	phase(rad)	directivity(dB)	vsvr(:1)	nf(dB)	op1db(dBm)	freq_1(Hz)	oip3(dBm)	freq_2(Hz)
860000000.0	27.42133	-0.822966201013701	50.754	1.444	1.612	4.712	860000000.0	37.106	860000000.0
870000000.0	27.43932	-0.851837262967266	50.8055	1.4405	1.604	4.704	870000000.0	37.1745	870000000.0
880000000.0	27.45924	-0.8804601391011975	50.857	1.4369999999999998	1.596	4.696	880000000.0	37.243	880000000.0
890000000.0	27.47687	-0.9088997556636695	50.908500000000004	1.4335	1.588	4.688	890000000.0	37.3115	890000000.0
900000000.0	27.49549	-0.937044062516704	50.96	1.43	1.58	4.68	900000000.0	37.38	900000000.0
910000000.0	27.51008	-0.965052233688083	50.824	1.427	1.5750000000000002	4.678	910000000.0	37.375	910000000.0
920000000.0	27.52635	-0.9929055941548101	50.688	1.424	1.57	4.676	920000000.0	37.370000000000005	920000000.0
930000000.0	27.54226	-1.020582850900011	50.552	1.4209999999999998	1.565	4.674	930000000.0	37.365	930000000.0
940000000.0	27.55762	-1.048034436572929	50.416000000000004	1.418	1.56	4.672	940000000.0	37.36	940000000.0
950000000.0	27.57333	-1.0755650856609624	50.28	1.415	1.5550000000000002	4.67	950000000.0	37.355000000000004	950000000.0
960000000.0	27.58731	-1.1025108749166526	50.144	1.412	1.55	4.668	960000000.0	37.35	960000000.0
970000000.0	27.60122	-1.129492094356158	50.008	1.4089999999999998	1.545	4.666	970000000.0	37.345	970000000.0
980000000.0	27.61758	-1.156440501605726	49.872	1.406	1.54	4.664	980000000.0	37.339999999999996	980000000.0
990000000.0	27.6306	-1.183143690095389	49.736000000000004	1.403	1.5350000000000001	4.662	990000000.0	37.335	990000000.0
